 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0      0 1273256 161096 243292    0    0     0     0  608  355 37  5 58  0
 1  0      0 1280548 161104 243284    0    0     0    20  436  300 28  3 68  1
 6  0      0 1272868 161104 243292    0    0     0     0  677  326 40  6 54  0
 1  0      0 1280292 161104 243292    0    0     0     0  433  286 27  2 71  0
 1  0      0 1280324 161104 243292    0    0     0     0  669  349 41  8 51  0
 2  0      0 1279580 161104 243292    0    0     0     0  436  269 26  2 72  0
 2  0      0 1273116 161104 243292    0    0     0     0  510  294 47  8 45  0
 1  0      0 1280548 161104 243292    0    0     0     0  586  359 27  2 71  0
 1  0      0 1280440 161104 243292    0    0     0     0  636  337 43  7 50  0
 2  0      0 1279084 161104 243292    0    0     0     0  470  300 26  2 71  0
 1  0      0 1280672 161104 243292    0    0     0     0  736  411 39  6 56  0
 2  0      0 1274496 161104 243292    0    0     0     0  546  291 33  3 65  0
 3  0      0 1273464 161104 243292    0    0     0     0  257  173 33  9 57  0
 2  0      0 1273100 161104 243292    0    0     0     0  116   82 41  7 52  0
 1  0      0 1280820 161104 243292    0    0     0     0  556  346 26  2 72  0
